Vial No,Raw ID,BMSCC,Log10BMSCC,TBC,Log10TBC,TSA,Log10TSA,TNAS,Log10TNAS,TEC,Log10TEC,S. aureus,C. Jejuni,E. coli,E. coli O157,E. coli O157 EAE,E. coli O157 STX1,E. coli O157 STX2,Listeria monocytogenes,Salmonella enterobacter,Yersinia enterocolitica,Month,Season,District,Season1,T_rearing2,F_Zone4,C_container5,Fre_clean,Dry_Cont,H_dry_cont,Dry_upside,Open_BM,BM_sieve,Sc_milker1,P_CM,Mix_CM,,,TN_Buffalo,W_milk1,Wash_buffalo,W_hand,N_Lactating,N_Dry,N_Heifer,N_calf
9,113,"36,000",4.56,90.91,1.96,,,"5,455",3.74,,,0,0,1,1,0,0,1,0,0,1,November,Late autumn,Mymensingh,1,0,0,,,1,1,1,1,0,0,0,0,,,43.00,2,1,1,7,7,4,12
11,119,"262,000",5.42,"63,636.36",4.80,,,,,,,0,0,1,1,0,1,0,0,0,1,November,Late autumn,Mymensingh,1,1,0,1,2,1,1,1,1,0,0,0,0,,,11.00,1,0,1,3,,1,3
12,123,"91,000",4.96,"7,454.55",3.87,,,"62,727",4.80,727,2.862,0,0,1,0,0,0,0,0,0,1,November,Late autumn,Mymensingh,1,1,0,0,1,1,1,1,0,1,0,0,0,,,10.00,1,0,1,3,3,2,6
18,159,"104,000",5.02,"91,818.18",4.96,,,"6,364",3.80,,,0,0,1,0,0,0,0,1,0,1,December,Late autumn,Jamalpur,1,0,0,0,1,1,1,1,1,0,1,0,0,,,32.00,1,0,0,13,3,2,12
17,157,"312,000",5.49,"490,909.09",5.69,,,"19,091",4.28,,,1,0,1,0,0,0,0,0,0,1,December,Late autumn,Jamalpur,1,0,0,1,1,1,1,1,1,0,0,0,0,,,18.00,"1,2",0,1,24,25,15,24
13,127,"105,000",5.02,"7,909.09",3.90,,,909,2.96,,,0,0,1,0,0,0,0,0,0,1,December,Late autumn,Jamalpur,1,1,0,0,2,1,1,1,1,1,0,0,0,,,18.00,1,0,1,8,2,0,8
16,146,"107,000",5.03,"28,181.82",4.45,,,"5,455",3.74,91,1.959,0,0,1,0,0,0,0,1,0,1,December,Late autumn,Jamalpur,1,1,0,1,1,1,1,1,1,0,1,0,0,,,88.00,2,0,0,8,1,3,6
15,142,"83,000",4.92,"7,181.82",3.86,,,,,,,0,0,1,0,0,0,0,1,0,1,December,Late autumn,Jamalpur,1,1,0,0,1,1,1,1,,0,1,0,0,,,11.00,1,0,0,5,,1,5
14,135,"155,000",5.19,"32,727.27",4.51,,,"8,182",3.91,,,0,0,1,0,0,0,0,1,0,1,December,Late autumn,Jamalpur,1,1,0,0,2,1,1,1,1,0,0,0,0,,,44.00,1,0,1,20,10,7,7
8,109,"691,000",5.84,"436,363.64",5.64,,,"13,636",4.13,91,1.959,0,0,1,0,0,0,0,1,0,1,October,Late autumn,Noakhali,1,0,0,1,2,1,1,1,1,0,1,1,1,,,14.00,2,1,0,43,60,37,30
10,116,"192,000",5.28,"1,727.27",3.24,,,909,2.96,,,0,0,1,1,0,0,1,0,0,1,November,Late autumn,Mymensingh,1,1,0,0,1,1,1,1,1,0,1,1,1,,,30.00,1,0,0,4,2,4,2
5,89,"328,000",5.52,"4,909,090.91",6.69,"8,182",3.91,"2,000,000",6.30,,,0,0,1,1,0,0,1,1,0,1,March,Spring,Bhola,0,1,0,0,1,1,1,1,1,0,0,0,0,,,6.00,1,0,1,3,0,0,3
