FID,Vial No,Raw ID,Raw ID,,TBC,Log10TBC,TSA,Log10TSA,TNAS,Log10TNAS,TEC,Log10TEC,TBC/mL,TSA/mL,TNAS/mL,TEC/mL,Bacterial isolation,S. aureus,C. Jejuni,E. coli,E. coli O157,E. coli O157 EAE,E. coli O157 STX1,E. coli O157 STX2,Listeria monocytogenes,Salmonella enterobacter,Yersinia enterocolitica,T_rearing,T_rearing1,District,Season,Season1,Fre_clean,Container,Container1,,Type_trader1,Type_trader2,Type_trader3,Nature_milk1,Nature_milk2,How_clean2,How_clean3,Sc_clean2,Use_brush,Dry_cont,How_dry,How_dry1,Cont_upside
76,40,71,40,,"163,636",5.214,,,89091,4.950,,,"163,636",0,"89,091",0,,0,0,1,1,0,0,1,1,0,0,4,1,Bhola,Spring,1,1,Plastic,0,,5,0,0,Buffalo milk,0,Pond water,1,2,0,1,1,1,1
82,37,45,37,,"563,636",5.751,909,2.959,68182,4.834,,,"563,636",909,"68,182",0,,1,0,1,1,0,0,1,1,0,0,0,1,Bhola,Spring,1,2,Plastic,0,,3,1,1,1-Cow-buffalo mix milk,1,Pond water,1,1,0,1,1,1,1
93,48,60,48,,"15,454,545",7.189,,,2218182,6.346,154545,5.189,"15,454,545",0,"2,218,182","154,545",,0,0,0,0,0,0,0,1,0,0,0,1,Bhola,Spring,1,2,Plastic,0,,"1,2",2,1,Buffalo milk,0,Tubewell water with detergents,0,3,1,1,1,1,1
107,39,61,39,,"17,272,727",7.237,,,2272727,6.357,318182,5.503,"17,272,727",0,"2,272,727","318,182",,0,0,1,0,0,0,0,1,0,0,3,0,Bhola,Spring,1,2,Plastic,0,,"1,2",2,1,Buffalo milk,0,Tubewell water with detergents,0,3,1,1,1,1,1
122,38,49,38,,"17,454,545",7.242,,,4181818,6.621,381818,5.582,"17,454,545",0,"4,181,818","381,818",,0,0,1,1,1,0,0,1,0,0,1,1,Bhola,Spring,1,1,Plastic,0,,,,,1-Cow-buffalo mix milk,1,Pond water,1,1,1,1,1,1,1
113,46,54,46,,"309,091",5.490,,,6364,3.804,2455,3.390,"2,545,455",0,"436,364","9,000",,0,0,0,0,0,0,0,0,0,0,1,1,Jamalpur,Late autumn,0,1,Aluminium,1,,4,0,0,Buffalo milk,0,Tubewell water with detergents,0,3,0,1,1,1,1
123,45,53,45,,"818,182",5.913,,,3636,3.561,3182,3.503,"157,273",0,"3,636",0,,0,0,0,0,0,0,0,0,0,0,1,1,Jamalpur,Late autumn,0,1,Aluminium,1,,3,1,1,Buffalo milk,0,Tubewell water with detergents,0,2,1,1,1,1,1
136,44,50,44,,"518,182",5.714,909,2.959,31818,4.503,2545,3.406,"518,182",909,"31,818","2,545",,0,0,1,0,0,0,0,1,0,0,3,0,Jamalpur,Late autumn,0,2,Aluminium,1,,3,1,1,Buffalo milk,0,Tubewell water,0,3,1,1,1,1,1
139,47,59,47,,"945,455",5.976,,,272727,5.436,56364,4.751,,0,"49,091",0,,0,0,0,0,0,0,0,0,0,0,3,0,Jamalpur,Late autumn,0,2,Plastic,0,,3,1,1,1-Cow-buffalo mix milk,1,Tubewell water,0,2,1,1,1,1,1
140,43,B4,43,,"16,090,909",7.207,,,10454545,7.019,418182,5.621,"16,090,909",0,"10,454,545","418,182",,1,0,1,1,0,0,1,0,0,0,4,1,Mymensingh,Late autumn,0,2,Aluminium,1,,5,0,0,Buffalo milk,0,Tubewell water with detergents,0,3,1,1,1,1,1
129,41,B2,41,,"19,181,818",7.283,,,2272727,6.357,141818,5.152,"19,181,818",0,"2,272,727","141,818",,0,0,1,0,0,0,0,0,0,0,4,1,Mymensingh,Late autumn,0,1,Aluminium,1,,5,0,0,Buffalo milk,0,Tubewell water,0,2,1,0,,,1
92,42,B3,42,,"24,818,182",7.395,,,1072727,6.030,409091,5.612,"24,818,182",0,"1,072,727","409,091",,0,0,1,1,0,0,1,1,0,0,3,0,Mymensingh,Late autumn,0,1,Plastic,0,,3,1,1,1-Cow-buffalo mix milk,1,Pond water,1,2,0,1,1,1,1
176,56,155,56,,"1,200,000",6.079,,,"81,818",4.913,,,"1,320,000",0,"5,000",0,,0,0,1,0,0,0,0,0,0,0,1,1,Noakhali,Summer,2,1,Aluminium,1,,4,0,0,Buffalo milk,0,Tubewell water with detergents,0,2,0,0,0,0,1
,55,150,55,,"12,727,273",7.105,,,"9,545,455",6.980,364,2.561,"100,000","1,000","104,000",400,,1,0,1,0,0,0,0,0,0,0,4,1,Noakhali,Summer,2,1,Aluminium,1,,5,0,0,1-Cow-buffalo mix milk,1,Pond water,1,2,1,1,0,0,1
,70,190,70,,"93,636",4.971,,,1818,3.260,,,"103,000",0,20,400,,1,0,1,0,0,0,0,0,0,0,4,1,Noakhali,Summer,2,2,Aluminium,1,,5,0,0,Buffalo milk,0,Pond water,1,3,1,1,0,0,1
197,73,193,73,,"174,545",5.242,,,"6,364",3.804,,,"192,000",0,400,0,,0,0,1,0,0,0,0,0,0,0,4,1,Noakhali,Summer,2,2,Aluminium,1,,5,0,0,Buffalo milk,0,Pond water,1,3,1,1,0,0,1
203,63,170,63,,"5,090,909",6.707,,,8182,3.913,,,"5,600,000",0,90,0,,0,0,1,0,0,0,0,1,0,0,1,1,Noakhali,Summer,2,2,Plastic,0,,5,0,0,Buffalo milk,0,Pond water,1,,0,1,0,0,1
238,71,191,71,,"261,818",5.418,,,"148,182",5.171,273,2.436,"1,680,000",200,"1,620",300,,0,0,1,0,0,0,0,0,0,0,4,1,Noakhali,Summer,2,2,Plastic,0,,5,0,0,1-Cow-buffalo mix milk,1,Pond water,1,1,1,1,0,0,1
240,72,192,72,,"7,272,727",6.862,,,"272,727",5.436,"2,727",3.436,"8,000,000","1,000","2,000","2,000",,0,0,1,0,0,0,0,1,0,0,4,1,Noakhali,Summer,2,2,Plastic,0,,5,0,0,1-Cow-buffalo mix milk,1,Pond water,1,1,1,1,0,0,1
245,65,179,65,,"11,727",4.069,,,,,40909,4.612,"12,900",0,0,0,,0,0,1,0,0,0,0,0,0,0,4,1,Noakhali,Summer,2,2,Plastic,0,,5,0,0,1-Cow-buffalo mix milk,1,Tubewell water with detergents,0,2,1,1,0,0,1
248,66,181,66,,"290,909",5.464,,,64545,4.810,182,2.260,"290,000",0,"1,000",200,,0,0,1,0,0,0,0,1,0,0,4,1,Noakhali,Summer,2,1,Plastic,0,,5 on farm,0,0,1-Cow-buffalo mix milk,1,Tubewell water with detergents,0,3,1,1,0,0,1
250,60,164,60,,"581,818",5.765,,,5455,3.737,818,2.913,"640,000",0,60,900,,0,0,1,0,0,0,0,0,0,0,1,1,Noakhali,Summer,2,1,Plastic,0,,4,0,0,Buffalo milk,0,Tubewell water,0,3,0,0,,,0
