Raw ID,Date,TBC,Log10TBC,TSA,Log10TSA,TNAS,Log10TNAS,TEC,Log10TEC,S. aureus,C. Jejuni,E. coli,E. coli O157,E. coli O157 EAE,E. coli O157 STX1,E. coli O157 STX2,Listeria monocytogenes,Salmonella enterobacter,Yersinia enterocolitica,,Type_P1,Place,Container1,Container2,,Season,Season1,,Store_T_hours
22,18-Oct-20,"116,363,636",8.065817284,,,37272727,7.571,618182,5.791,0,0,1,1,1,0,1,0,0,0,,1,Noakhali,1,0,,Late autumn,0,,
23,19-Oct-20,"217,272,727",8.337005216,,,26363636,7.421,61818,4.791,0,0,1,1,1,1,1,0,0,0,,1,Noakhali,1,0,,Late autumn,0,,
33,12-Dec-20,727273,5.861697302,,,181818,5.260,3000,3.477,0,0,1,0,0,0,0,0,0,0,,1,Madarganj,1,0,,Late autumn,0,,
11,15-Mar-20,"16,090,909",7.206580581,,,7273,3.862,182,2.260,0,0,1,1,0,0,1,0,0,0,,1,Bhola,1,0,,Spring,1,,6
12,15-Mar-20,"27,090,909",7.432823579,,,23636,4.374,455,2.658,1,0,1,1,1,0,1,0,0,0,,1,Bhola,1,0,,Spring,1,,14
13,15-Mar-20,"8,909,091",6.949833391,,,200000,5.301,4455,3.649,1,0,1,1,1,0,1,1,0,0,,1,Bhola,1,0,,Spring,1,,10
17,21-Mar-20,"6,909,091",6.839420907,909,2.959,172727,5.237,273,2.436,0,0,1,0,0,0,0,0,0,0,,1,Bhola,1,0,,Spring,1,,6
43,1-Mar-21,"8,000,000",6.903089987,,,6364,3.804,1818,3.260,0,0,1,1,0,0,1,0,0,0,,1,Rajshahi,1,0,,Spring,1,,
44,25-Mar-21,"2,545,455",6.405765346,,,,,2727,3.436,0,0,0,0,0,0,0,0,0,0,,4,Rajshahi,1,0,,Spring,1,Cheese,
46,25-Mar-21,"436,363,636",8.639848552,,,,,220000,5.342,0,0,1,0,0,0,0,0,0,0,,1,Noakhali,1,0,,Spring,1,,24
21,17-Oct-20,"56,363,636",7.750999004,,,40909091,7.612,270909091,8.433,0,0,1,1,0,0,1,0,0,0,,1,Laxmipur,2,1,,Late autumn,0,,24
